"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2006-02-16",75,187,0,41
"2006-02-17",59,172,1,39
"2006-02-18",41,153,1,19
"2006-02-19",34,200,0,26
"2006-02-20",40,156,1,27
"2006-02-21",77,183,0,37
"2006-02-22",86,271,0,29
"2006-02-23",73,192,2,24
"2006-02-24",83,228,0,30
"2006-02-25",56,238,0,40
"2006-02-26",50,190,0,33
"2006-02-27",59,187,1,30
"2006-02-28",81,197,1,39
"2006-03-01",80,223,1,43
"2006-03-02",62,236,1,26
"2006-03-03",66,211,3,37
"2006-03-04",72,219,1,37
"2006-03-05",56,176,1,35
"2006-03-06",47,127,1,32
"2006-03-07",63,204,1,23
"2006-03-08",73,202,1,23
"2006-03-09",76,223,0,34
"2006-03-10",81,234,1,31
"2006-03-11",76,288,5,37
"2006-03-12",44,265,0,29
"2006-03-13",63,185,0,33
"2006-03-14",60,184,2,28
"2006-03-15",84,245,2,41
"2006-03-16",63,227,2,51
"2006-03-17",74,243,0,39
"2006-03-18",53,226,2,32
"2006-03-19",67,244,0,34
"2006-03-20",55,189,0,37
"2006-03-21",78,204,0,39
"2006-03-22",89,240,0,40
"2006-03-23",70,213,1,43
"2006-03-24",88,262,0,48
"2006-03-25",48,217,1,35
"2006-03-26",69,265,0,38
"2006-03-27",59,182,2,42
"2006-03-28",89,181,2,58
"2006-03-29",101,231,0,39
"2006-03-30",92,273,3,30
"2006-03-31",82,260,2,42
"2006-04-01",66,230,0,43
"2006-04-02",52,245,2,42
"2006-04-03",60,211,2,40
"2006-04-04",85,243,1,42
"2006-04-05",75,210,0,27
"2006-04-06",72,226,0,37
"2006-04-07",64,186,0,40
"2006-04-08",56,219,2,36
"2006-04-09",56,237,1,35
"2006-04-10",80,211,0,47
"2006-04-11",78,255,2,42
"2006-04-12",67,250,0,44
"2006-04-13",79,244,1,34
"2006-04-14",66,265,1,41
"2006-04-15",98,295,2,48
"2006-04-16",51,219,0,26
"2006-04-17",68,209,0,38
"2006-04-18",97,219,0,29
"2006-04-19",95,236,1,45
"2006-04-20",85,245,1,45
"2006-04-21",78,270,2,42
"2006-04-22",82,284,3,41
"2006-04-23",68,291,2,43
"2006-04-24",79,217,0,46
"2006-04-25",64,192,3,36
"2006-04-26",92,219,1,28
"2006-04-27",67,227,2,42
"2006-04-28",90,246,4,33
"2006-04-29",55,238,2,54
"2006-04-30",57,197,2,43
"2006-05-01",75,242,0,45
"2006-05-02",98,202,0,30
"2006-05-03",97,267,2,49
"2006-05-04",94,237,3,39
"2006-05-05",92,258,0,43
"2006-05-06",69,236,2,38
"2006-05-07",58,276,2,42
"2006-05-08",89,255,1,52
"2006-05-09",90,263,0,43
"2006-05-10",91,234,1,47
"2006-05-11",65,178,3,28
"2006-05-12",70,210,2,39
"2006-05-13",52,187,0,57
"2006-05-14",64,275,1,37
"2006-05-15",67,231,1,36
"2006-05-16",88,232,2,35
"2006-05-17",92,200,0,36
"2006-05-18",76,228,1,40
"2006-05-19",73,236,0,44
"2006-05-20",82,282,1,39
"2006-05-21",77,265,4,36
"2006-05-22",82,203,2,44
"2006-05-23",73,240,1,43
"2006-05-24",75,231,2,47
"2006-05-25",92,255,2,53
"2006-05-26",93,279,1,35
"2006-05-27",90,323,2,58
"2006-05-28",76,329,2,43
"2006-05-29",74,334,2,46
"2006-05-30",93,270,1,48
"2006-05-31",102,298,1,39
"2006-06-01",90,257,0,47
"2006-06-02",85,207,4,53
"2006-06-03",79,253,1,36
"2006-06-04",69,262,2,35
"2006-06-05",99,243,2,32
"2006-06-06",74,225,1,36
"2006-06-07",80,249,2,38
"2006-06-08",79,234,1,37
"2006-06-09",76,255,0,54
"2006-06-10",70,232,2,45
"2006-06-11",47,251,1,51
"2006-06-12",74,207,1,39
"2006-06-13",86,231,0,52
"2006-06-14",79,251,1,58
"2006-06-15",75,196,2,49
"2006-06-16",90,291,3,40
"2006-06-17",77,313,2,53
"2006-06-18",73,359,4,45
"2006-06-19",79,270,1,36
"2006-06-20",95,245,3,38
"2006-06-21",83,237,0,44
"2006-06-22",93,271,1,52
"2006-06-23",71,223,1,61
"2006-06-24",67,245,0,41
"2006-06-25",71,266,4,55
"2006-06-26",53,219,0,44
"2006-06-27",70,189,1,39
"2006-06-28",86,245,2,42
"2006-06-29",73,248,2,38
"2006-06-30",68,216,1,48
"2006-07-01",85,294,1,48
"2006-07-02",80,291,2,46
"2006-07-03",83,271,3,43
"2006-07-04",80,348,2,51
"2006-07-05",92,280,2,52
"2006-07-06",67,219,2,49
"2006-07-07",84,235,4,63
"2006-07-08",95,293,5,45
"2006-07-09",95,280,2,40
"2006-07-10",75,239,2,49
"2006-07-11",85,192,2,46
"2006-07-12",76,213,1,37
"2006-07-13",83,227,1,49
"2006-07-14",101,245,2,32
"2006-07-15",80,284,0,46
"2006-07-16",86,300,4,52
"2006-07-17",95,253,0,43
"2006-07-18",81,256,0,41
"2006-07-19",81,262,3,54
"2006-07-20",70,191,0,59
"2006-07-21",68,228,2,66
"2006-07-22",60,283,2,44
"2006-07-23",85,283,3,40
"2006-07-24",85,262,1,45
"2006-07-25",86,260,0,39
"2006-07-26",87,240,2,41
"2006-07-27",79,216,6,53
"2006-07-28",72,211,3,36
"2006-07-29",60,277,2,63
"2006-07-30",70,290,4,46
"2006-07-31",84,224,3,48
"2006-08-01",76,239,0,52
"2006-08-02",85,231,1,56
"2006-08-03",69,195,1,49
"2006-08-04",72,217,1,59
"2006-08-05",79,294,2,44
"2006-08-06",92,296,0,48
"2006-08-07",71,225,0,49
"2006-08-08",84,234,0,43
"2006-08-09",66,222,1,48
"2006-08-10",62,196,2,54
"2006-08-11",73,208,2,57
"2006-08-12",78,279,2,49
"2006-08-13",84,272,1,47
"2006-08-14",85,207,0,43
"2006-08-15",71,206,1,26
"2006-08-16",78,191,0,45
"2006-08-17",71,214,1,38
"2006-08-18",88,191,5,31
"2006-08-19",75,255,0,50
"2006-08-20",75,279,1,47
"2006-08-21",69,200,1,43
"2006-08-22",67,186,1,52
"2006-08-23",93,185,2,40
"2006-08-24",64,198,0,44
"2006-08-25",78,212,2,48
"2006-08-26",85,274,2,50
"2006-08-27",79,275,2,56
"2006-08-28",70,135,0,57
"2006-08-29",60,173,0,35
"2006-08-30",75,188,1,41
"2006-08-31",64,207,0,41
"2006-09-01",75,200,3,59
"2006-09-02",82,268,0,51
"2006-09-03",80,266,3,40
"2006-09-04",75,220,2,41
"2006-09-05",79,187,0,49
"2006-09-06",81,208,1,32
"2006-09-07",88,204,3,46
"2006-09-08",77,267,4,61
"2006-09-09",68,301,0,52
"2006-09-10",66,246,1,47
"2006-09-11",69,149,0,47
"2006-09-12",72,194,1,59
"2006-09-13",59,154,1,36
"2006-09-14",69,197,2,34
"2006-09-15",78,250,2,60
"2006-09-16",78,287,1,66
"2006-09-17",69,313,4,42
"2006-09-18",78,190,4,38
"2006-09-19",67,196,3,46
"2006-09-20",69,193,3,45
"2006-09-21",72,219,3,52
"2006-09-22",72,241,1,37
"2006-09-23",75,222,3,55
"2006-09-24",71,263,2,39
"2006-09-25",72,209,4,50
"2006-09-26",92,261,0,48
"2006-09-27",80,214,0,34
"2006-09-28",54,191,1,34
"2006-09-29",72,212,2,50
"2006-09-30",54,217,3,41
"2006-10-01",76,239,0,39
"2006-10-02",63,198,1,45
"2006-10-03",73,228,7,54
"2006-10-04",86,255,0,47
"2006-10-05",77,225,1,50
"2006-10-06",81,253,2,46
"2006-10-07",65,226,5,52
"2006-10-08",80,300,3,48
"2006-10-09",55,177,1,56
"2006-10-10",59,230,1,43
"2006-10-11",47,166,0,35
"2006-10-12",54,160,1,44
"2006-10-13",64,211,2,48
"2006-10-14",63,222,2,48
"2006-10-15",63,240,1,43
"2006-10-16",68,168,1,45
"2006-10-17",63,221,0,64
"2006-10-18",68,205,0,56
"2006-10-19",90,241,0,53
"2006-10-20",76,237,1,51
"2006-10-21",56,221,1,47
"2006-10-22",56,221,0,47
"2006-10-23",73,186,1,49
"2006-10-24",73,182,2,46
"2006-10-25",81,213,0,50
"2006-10-26",71,168,1,50
"2006-10-27",68,223,1,78
"2006-10-28",56,218,1,53
"2006-10-29",67,261,2,59
"2006-10-30",75,232,0,50
"2006-10-31",91,242,3,64
"2006-11-01",76,223,2,46
"2006-11-02",52,182,0,44
"2006-11-03",52,170,4,46
"2006-11-04",63,206,1,56
"2006-11-05",59,213,2,41
"2006-11-06",89,220,0,58
"2006-11-07",73,219,0,39
"2006-11-08",72,229,1,62
"2006-11-09",83,196,2,48
"2006-11-10",54,207,0,62
"2006-11-11",57,203,2,46
"2006-11-12",50,204,0,40
"2006-11-13",63,193,3,40
"2006-11-14",78,199,1,51
"2006-11-15",76,176,4,50
"2006-11-16",47,202,0,53
"2006-11-17",60,224,0,73
"2006-11-18",43,229,4,46
"2006-11-19",44,197,0,45
"2006-11-20",74,194,1,38
"2006-11-21",74,199,2,36
"2006-11-22",42,196,1,44
"2006-11-23",46,223,1,28
"2006-11-24",43,177,2,38
"2006-11-25",75,214,2,42
"2006-11-26",82,260,2,39
"2006-11-27",80,223,2,57
"2006-11-28",83,175,0,44
"2006-11-29",59,161,1,48
"2006-11-30",59,175,3,44
"2006-12-01",60,156,0,56
"2006-12-02",58,174,0,26
"2006-12-03",48,157,3,31
"2006-12-04",53,169,0,48
"2006-12-05",64,155,1,41
"2006-12-06",52,176,0,42
"2006-12-07",60,171,2,40
"2006-12-08",53,170,4,38
"2006-12-09",58,190,2,32
"2006-12-10",64,217,0,45
"2006-12-11",74,178,0,42
"2006-12-12",80,223,1,31
"2006-12-13",74,209,0,51
"2006-12-14",73,219,1,51
"2006-12-15",78,207,1,58
"2006-12-16",78,237,2,58
"2006-12-17",55,213,1,50
"2006-12-18",86,170,0,49
"2006-12-19",65,195,1,51
"2006-12-20",66,194,0,46
"2006-12-21",75,197,0,51
"2006-12-22",70,199,0,57
"2006-12-23",64,199,1,44
"2006-12-24",46,184,4,53
"2006-12-25",49,178,1,29
"2006-12-26",45,163,1,36
"2006-12-27",52,151,2,49
"2006-12-28",59,186,1,49
"2006-12-29",62,153,2,47
"2006-12-30",58,226,1,56
"2006-12-31",44,201,1,39
"2007-01-01",52,371,4,41
"2007-01-02",42,127,1,33
"2007-01-03",45,181,0,41
"2007-01-04",47,143,2,31
"2007-01-05",58,192,0,55
"2007-01-06",59,204,0,43
"2007-01-07",56,191,0,27
"2007-01-08",62,153,1,41
"2007-01-09",59,155,0,36
"2007-01-10",71,179,0,33
"2007-01-11",64,181,1,52
"2007-01-12",72,206,1,36
"2007-01-13",57,205,0,44
"2007-01-14",48,195,0,46
"2007-01-15",33,136,0,40
"2007-01-16",60,150,1,39
"2007-01-17",62,160,1,36
"2007-01-18",55,167,2,39
"2007-01-19",68,174,0,40
"2007-01-20",51,188,0,30
"2007-01-21",52,202,3,20
"2007-01-22",62,175,1,40
"2007-01-23",50,161,1,37
"2007-01-24",65,188,0,23
"2007-01-25",54,182,1,26
"2007-01-26",47,181,0,33
"2007-01-27",59,197,0,52
"2007-01-28",39,183,3,38
"2007-01-29",54,133,0,23
"2007-01-30",69,141,2,17
"2007-01-31",50,184,1,36
"2007-02-01",67,170,1,32
"2007-02-02",54,187,0,21
"2007-02-03",35,164,0,26
"2007-02-04",41,209,1,30
"2007-02-05",47,175,0,25
"2007-02-06",44,140,1,25
"2007-02-07",59,158,0,24
"2007-02-08",58,159,1,20
"2007-02-09",50,164,0,40
"2007-02-10",52,160,1,28
"2007-02-11",54,172,0,27
"2007-02-12",47,143,1,33
"2007-02-13",55,128,0,24
"2007-02-14",53,118,0,18
"2007-02-15",56,158,0,20
"2007-02-16",61,217,0,27
"2007-02-17",60,167,3,17
"2007-02-18",41,199,0,22
"2007-02-19",47,139,1,29
"2007-02-20",74,193,1,46
"2007-02-21",69,202,0,28
"2007-02-22",75,207,1,26
"2007-02-23",69,226,1,40
"2007-02-24",56,190,1,28
"2007-02-25",43,170,2,19
"2007-02-26",44,154,1,32
"2007-02-27",74,211,2,37
"2007-02-28",70,192,3,35
"2007-03-01",75,197,0,22
"2007-03-02",53,199,1,34
"2007-03-03",59,214,2,24
"2007-03-04",60,205,1,20
"2007-03-05",51,145,0,26
"2007-03-06",56,156,0,34
"2007-03-07",83,199,0,35
"2007-03-08",77,178,0,27
"2007-03-09",76,232,0,31
"2007-03-10",66,233,7,31
"2007-03-11",62,273,0,30
"2007-03-12",94,250,2,39
"2007-03-13",88,266,1,31
"2007-03-14",84,194,0,37
"2007-03-15",87,210,1,33
"2007-03-16",78,198,3,34
"2007-03-17",59,223,1,32
"2007-03-18",57,244,0,40
"2007-03-19",69,210,2,48
"2007-03-20",76,224,1,35
"2007-03-21",83,237,4,44
"2007-03-22",88,256,0,35
"2007-03-23",64,216,3,32
"2007-03-24",78,224,0,48
"2007-03-25",89,307,3,34
"2007-03-26",98,250,2,36
"2007-03-27",85,251,2,36
"2007-03-28",80,186,2,37
"2007-03-29",76,245,0,52
"2007-03-30",70,218,1,36
"2007-03-31",76,245,2,32
"2007-04-01",66,232,2,26
"2007-04-02",67,206,2,47
"2007-04-03",53,204,2,32
"2007-04-04",47,157,0,34
"2007-04-05",43,145,2,38
"2007-04-06",53,170,1,24
"2007-04-07",58,189,0,25
"2007-04-08",60,222,0,27
"2007-04-09",80,188,2,33
"2007-04-10",73,193,1,25
"2007-04-11",77,169,0,39
"2007-04-12",72,204,0,39
"2007-04-13",65,244,0,48
"2007-04-14",58,257,2,50
"2007-04-15",68,245,3,45
"2007-04-16",78,230,1,28
"2007-04-17",84,259,1,41
"2007-04-18",53,192,1,44
"2007-04-19",88,186,2,39
"2007-04-20",106,263,2,43
"2007-04-21",67,288,3,36
"2007-04-22",93,322,2,35
"2007-04-23",79,246,1,43
"2007-04-24",82,224,1,40
"2007-04-25",81,161,0,35
"2007-04-26",57,177,3,30
"2007-04-27",78,236,0,43
"2007-04-28",85,272,0,56
"2007-04-29",80,304,2,52
"2007-04-30",94,221,0,52
"2007-05-01",95,230,1,53
"2007-05-02",91,235,1,44
"2007-05-03",94,224,1,39
"2007-05-04",77,241,0,49
"2007-05-05",56,249,2,53
"2007-05-06",79,293,0,46
"2007-05-07",109,241,4,42
"2007-05-08",104,236,1,44
"2007-05-09",90,277,2,41
"2007-05-10",102,248,2,38
"2007-05-11",85,233,0,44
"2007-05-12",74,230,0,54
"2007-05-13",72,257,1,38
"2007-05-14",92,270,1,49
"2007-05-15",87,237,3,39
"2007-05-16",92,214,0,37
"2007-05-17",99,224,1,39
"2007-05-18",82,259,0,40
"2007-05-19",87,260,1,52
"2007-05-20",86,276,2,35
"2007-05-21",92,232,0,32
"2007-05-22",82,267,2,42
"2007-05-23",109,259,1,47
"2007-05-24",104,305,0,35
"2007-05-25",92,252,3,39
"2007-05-26",58,221,3,35
"2007-05-27",70,298,0,65
"2007-05-28",87,333,1,40
"2007-05-29",84,292,1,50
"2007-05-30",110,250,0,41
"2007-05-31",91,228,0,43
"2007-06-01",72,236,3,44
"2007-06-02",84,305,2,44
"2007-06-03",84,322,1,35
"2007-06-04",66,210,3,45
"2007-06-05",84,181,2,50
"2007-06-06",101,233,0,52
"2007-06-07",79,253,2,31
"2007-06-08",83,281,0,44
"2007-06-09",95,300,1,33
"2007-06-10",72,326,3,43
"2007-06-11",78,262,3,54
"2007-06-12",84,279,3,47
"2007-06-13",75,210,1,37
"2007-06-14",77,236,1,39
"2007-06-15",95,285,0,45
"2007-06-16",79,310,4,48
"2007-06-17",78,363,2,51
"2007-06-18",84,292,3,36
"2007-06-19",76,237,1,45
"2007-06-20",92,256,0,34
"2007-06-21",101,239,2,51
"2007-06-22",81,254,1,57
"2007-06-23",72,248,0,65
"2007-06-24",75,295,1,58
"2007-06-25",83,222,2,46
"2007-06-26",75,226,2,39
"2007-06-27",83,222,2,47
"2007-06-28",66,215,0,39
"2007-06-29",67,222,1,51
"2007-06-30",74,243,1,55
"2007-07-01",90,269,1,49
"2007-07-02",84,193,0,52
"2007-07-03",79,199,4,54
"2007-07-04",94,355,2,34
"2007-07-05",95,317,3,48
"2007-07-06",86,249,0,48
"2007-07-07",95,309,0,58
"2007-07-08",88,288,5,59
"2007-07-09",88,221,3,60
"2007-07-10",78,207,0,49
"2007-07-11",79,203,0,43
"2007-07-12",76,222,1,41
"2007-07-13",78,198,2,63
"2007-07-14",76,268,1,51
"2007-07-15",74,312,2,47
"2007-07-16",74,201,0,42
"2007-07-17",77,210,1,48
"2007-07-18",93,236,3,51
"2007-07-19",56,211,0,40
"2007-07-20",88,217,1,35
"2007-07-21",73,299,1,63
"2007-07-22",99,319,2,44
"2007-07-23",80,221,2,47
"2007-07-24",68,270,0,44
"2007-07-25",84,243,3,50
"2007-07-26",85,219,1,37
"2007-07-27",72,209,2,39
"2007-07-28",86,292,2,51
"2007-07-29",95,292,2,48
"2007-07-30",89,244,0,57
"2007-07-31",87,230,0,46
"2007-08-01",96,189,3,48
"2007-08-02",90,246,2,38
"2007-08-03",72,224,1,50
"2007-08-04",86,297,2,46
"2007-08-05",78,266,4,45
"2007-08-06",71,222,0,46
"2007-08-07",77,201,0,45
"2007-08-08",76,257,1,43
"2007-08-09",60,198,4,46
"2007-08-10",94,231,1,47
"2007-08-11",73,306,1,40
"2007-08-12",82,312,1,53
"2007-08-13",81,229,1,58
"2007-08-14",75,237,1,58
"2007-08-15",77,183,0,47
"2007-08-16",73,199,0,49
"2007-08-17",70,197,1,47
"2007-08-18",60,225,3,44
"2007-08-19",66,195,3,31
"2007-08-20",74,156,1,44
"2007-08-21",73,198,4,42
"2007-08-22",67,205,1,54
"2007-08-23",72,189,0,49
"2007-08-24",77,201,3,35
"2007-08-25",82,299,2,40
"2007-08-26",76,293,2,37
"2007-08-27",71,207,2,43
"2007-08-28",79,211,0,43
"2007-08-29",77,205,0,40
"2007-08-30",75,222,0,59
"2007-08-31",85,215,3,52
"2007-09-01",81,290,3,46
"2007-09-02",82,282,7,24
"2007-09-03",94,302,0,49
"2007-09-04",75,208,0,39
"2007-09-05",63,217,1,50
"2007-09-06",76,242,0,44
"2007-09-07",91,218,4,44
"2007-09-08",101,302,3,38
"2007-09-09",70,299,2,51
"2007-09-10",84,190,1,48
"2007-09-11",74,213,2,39
"2007-09-12",62,202,3,35
"2007-09-13",85,204,1,37
"2007-09-14",81,226,3,48
"2007-09-15",73,220,1,45
"2007-09-16",77,255,1,42
"2007-09-17",67,209,1,52
"2007-09-18",89,239,1,53
"2007-09-19",91,219,1,59
"2007-09-20",97,215,1,47
"2007-09-21",86,272,1,48
"2007-09-22",98,293,4,54
"2007-09-23",80,284,2,43
"2007-09-24",88,247,3,42
"2007-09-25",89,236,0,57
"2007-09-26",78,200,1,53
"2007-09-27",84,223,0,56
"2007-09-28",86,235,0,56
"2007-09-29",64,249,0,45
"2007-09-30",86,274,3,40
"2007-10-01",79,203,1,50
"2007-10-02",94,232,1,47
"2007-10-03",79,210,0,44
"2007-10-04",98,225,0,45
"2007-10-05",78,226,1,43
"2007-10-06",80,267,5,48
"2007-10-07",76,312,5,42
"2007-10-08",88,231,2,38
"2007-10-09",78,209,1,48
"2007-10-10",65,206,1,44
"2007-10-11",66,194,0,37
"2007-10-12",82,212,0,38
"2007-10-13",74,240,0,53
"2007-10-14",68,213,4,37
"2007-10-15",76,188,0,52
"2007-10-16",89,248,1,53
"2007-10-17",93,231,2,43
"2007-10-18",74,238,0,47
"2007-10-19",63,203,0,40
"2007-10-20",74,269,2,62
"2007-10-21",93,309,2,41
"2007-10-22",67,164,2,46
"2007-10-23",78,190,0,39
"2007-10-24",60,180,1,59
"2007-10-25",79,217,1,46
"2007-10-26",93,198,1,54
"2007-10-27",69,229,1,50
"2007-10-28",65,230,0,43
"2007-10-29",72,203,0,51
"2007-10-30",82,241,1,42
"2007-10-31",89,291,3,51
"2007-11-01",80,236,1,57
"2007-11-02",69,181,2,62
"2007-11-03",71,239,1,46
"2007-11-04",71,216,2,41
"2007-11-05",71,182,0,47
"2007-11-06",55,161,1,35
"2007-11-07",65,157,1,52
"2007-11-08",71,174,1,64
"2007-11-09",60,203,1,45
"2007-11-10",66,207,1,45
"2007-11-11",58,219,3,53
"2007-11-12",60,197,0,52
"2007-11-13",65,216,0,39
"2007-11-14",73,194,2,51
"2007-11-15",54,168,0,49
"2007-11-16",69,211,0,56
"2007-11-17",51,172,2,62
"2007-11-18",52,220,2,36
"2007-11-19",68,177,3,56
"2007-11-20",69,180,0,61
"2007-11-21",62,153,2,45
"2007-11-22",41,182,0,24
"2007-11-23",48,162,1,37
"2007-11-24",53,171,0,46
"2007-11-25",55,203,0,45
"2007-11-26",48,143,1,53
"2007-11-27",62,153,0,43
"2007-11-28",79,172,1,58
"2007-11-29",80,172,1,54
"2007-11-30",73,171,0,71
"2007-12-01",37,177,0,40
"2007-12-02",50,152,1,46
"2007-12-03",51,174,0,53
"2007-12-04",78,154,1,50
"2007-12-05",59,147,2,48
"2007-12-06",78,164,1,47
"2007-12-07",41,145,0,45
"2007-12-08",46,163,1,47
"2007-12-09",37,178,1,35
"2007-12-10",64,159,1,41
"2007-12-11",78,184,2,34
"2007-12-12",64,186,1,41
"2007-12-13",75,195,1,36
"2007-12-14",69,206,1,47
"2007-12-15",53,177,2,59
"2007-12-16",40,169,2,33
"2007-12-17",55,156,1,37
"2007-12-18",58,181,1,37
"2007-12-19",62,180,1,40
"2007-12-20",65,173,0,57
"2007-12-21",68,191,1,63
"2007-12-22",58,224,2,61
"2007-12-23",43,178,2,61
"2007-12-24",36,141,0,38
"2007-12-25",49,200,1,37
"2007-12-26",58,170,1,44
"2007-12-27",50,155,1,41
"2007-12-28",55,171,1,67
"2007-12-29",57,183,2,30
"2007-12-30",59,212,0,42
"2007-12-31",51,162,3,43
"2008-01-01",63,303,2,36
"2008-01-02",44,112,1,25
"2008-01-03",33,126,1,41
"2008-01-04",57,154,1,55
"2008-01-05",61,191,2,49
"2008-01-06",54,248,4,52
"2008-01-07",66,212,2,59
"2008-01-08",62,173,1,42
"2008-01-09",68,162,1,50
"2008-01-10",60,197,2,47
"2008-01-11",61,205,0,56
"2008-01-12",64,225,1,44
"2008-01-13",54,222,0,53
"2008-01-14",59,173,1,35
"2008-01-15",66,180,1,40
"2008-01-16",76,183,0,46
"2008-01-17",68,159,0,44
"2008-01-18",56,175,2,38
"2008-01-19",47,174,1,24
"2008-01-20",48,188,1,35
"2008-01-21",58,154,2,25
"2008-01-22",52,151,0,41
"2008-01-23",57,147,0,31
"2008-01-24",49,142,0,39
"2008-01-25",39,137,2,33
"2008-01-26",56,183,2,31
"2008-01-27",52,203,1,37
"2008-01-28",58,167,0,46
"2008-01-29",55,175,0,43
"2008-01-30",50,134,0,35
"2008-01-31",61,136,3,37
"2008-02-01",72,158,0,39
"2008-02-02",54,171,0,42
"2008-02-03",53,212,1,39
"2008-02-04",57,163,0,54
"2008-02-05",57,179,0,32
"2008-02-06",60,179,0,36
"2008-02-07",68,178,0,33
"2008-02-08",69,216,0,39
"2008-02-09",54,178,4,26
"2008-02-10",45,184,0,27
"2008-02-11",48,122,0,30
"2008-02-12",32,119,1,34
"2008-02-13",64,138,0,31
"2008-02-14",66,189,1,36
"2008-02-15",65,204,0,29
"2008-02-16",62,214,0,42
"2008-02-17",60,212,0,29
"2008-02-18",43,141,1,25
"2008-02-19",68,133,1,29
"2008-02-20",62,155,1,24
"2008-02-21",71,183,0,31
"2008-02-22",69,195,1,30
"2008-02-23",69,241,0,31
"2008-02-24",42,224,2,34
"2008-02-25",79,202,1,29
"2008-02-26",71,186,1,29
"2008-02-27",66,162,1,33
"2008-02-28",56,186,1,23
"2008-02-29",80,219,3,43
"2008-03-01",69,196,2,36
"2008-03-02",51,235,3,24
"2008-03-03",47,161,0,49
"2008-03-04",70,191,0,31
"2008-03-05",74,211,0,40
"2008-03-06",75,195,0,31
"2008-03-07",76,202,1,49
"2008-03-08",46,191,0,54
"2008-03-09",59,217,3,24
"2008-03-10",68,194,1,41
"2008-03-11",80,207,0,40
"2008-03-12",79,214,1,40
"2008-03-13",74,226,3,55
"2008-03-14",82,243,1,43
"2008-03-15",72,223,0,43
"2008-03-16",66,206,5,34
"2008-03-17",45,173,0,54
"2008-03-18",40,155,0,36
"2008-03-19",70,187,0,37
"2008-03-20",71,166,4,40
"2008-03-21",45,146,1,26
"2008-03-22",45,184,0,32
"2008-03-23",55,220,1,29
"2008-03-24",68,179,2,33
"2008-03-25",76,235,0,43
"2008-03-26",110,252,0,47
"2008-03-27",56,183,0,44
"2008-03-28",81,223,0,47
"2008-03-29",61,195,4,42
"2008-03-30",61,198,0,50
"2008-03-31",71,201,1,41
"2008-04-01",96,191,2,27
"2008-04-02",86,197,0,23
"2008-04-03",93,171,1,43
"2008-04-04",95,244,5,41
"2008-04-05",81,249,2,38
"2008-04-06",84,293,2,49
"2008-04-07",90,212,0,44
"2008-04-08",73,217,0,40
"2008-04-09",78,201,0,41
"2008-04-10",62,188,0,49
"2008-04-11",61,160,1,41
"2008-04-12",52,210,2,32
"2008-04-13",63,198,0,29
"2008-04-14",68,188,1,47
"2008-04-15",74,255,2,38
"2008-04-16",99,267,0,40
"2008-04-17",84,225,2,41
"2008-04-18",91,249,3,35
"2008-04-19",80,235,2,42
"2008-04-20",84,259,2,48
"2008-04-21",108,260,3,47
"2008-04-22",110,260,2,46
"2008-04-23",97,250,5,40
"2008-04-24",80,218,0,41
"2008-04-25",81,272,0,48
"2008-04-26",59,255,3,41
"2008-04-27",67,240,1,51
"2008-04-28",75,185,1,38
"2008-04-29",67,184,1,36
"2008-04-30",106,194,4,41
"2008-05-01",99,254,2,37
"2008-05-02",80,254,1,44
"2008-05-03",70,208,1,53
"2008-05-04",81,253,1,38
"2008-05-05",91,239,1,47
"2008-05-06",107,264,4,38
"2008-05-07",95,250,1,54
"2008-05-08",99,229,1,32
"2008-05-09",85,236,0,46
"2008-05-10",71,236,2,42
"2008-05-11",48,223,1,36
"2008-05-12",76,215,2,28
"2008-05-13",95,202,0,35
"2008-05-14",87,200,0,43
"2008-05-15",96,228,4,55
"2008-05-16",95,271,2,39
"2008-05-17",78,308,2,41
"2008-05-18",58,244,0,45
"2008-05-19",76,223,1,51
"2008-05-20",90,241,1,42
"2008-05-21",88,234,1,51
"2008-05-22",79,247,1,40
"2008-05-23",69,205,1,58
"2008-05-24",74,297,3,44
"2008-05-25",56,270,2,45
"2008-05-26",89,284,3,36
"2008-05-27",76,191,0,42
"2008-05-28",72,192,0,55
"2008-05-29",89,219,0,55
"2008-05-30",80,244,2,46
"2008-05-31",59,284,2,49
"2008-06-01",94,305,1,47
"2008-06-02",106,214,2,52
"2008-06-03",74,227,0,50
"2008-06-04",95,236,0,49
"2008-06-05",93,240,0,42
"2008-06-06",94,270,0,46
"2008-06-07",75,306,2,53
"2008-06-08",61,281,1,39
"2008-06-09",94,254,2,41
"2008-06-10",86,235,0,48
"2008-06-11",91,271,4,62
"2008-06-12",77,256,1,45
"2008-06-13",89,275,4,47
"2008-06-14",86,294,4,43
"2008-06-15",81,353,3,46
"2008-06-16",73,224,2,39
"2008-06-17",90,227,3,37
"2008-06-18",85,208,0,37
"2008-06-19",73,187,3,45
"2008-06-20",69,243,2,37
"2008-06-21",80,250,4,42
"2008-06-22",84,285,0,42
"2008-06-23",73,195,5,43
"2008-06-24",69,204,0,36
"2008-06-25",80,188,1,47
"2008-06-26",83,266,0,44
"2008-06-27",70,249,2,50
"2008-06-28",76,303,0,37
"2008-06-29",65,249,5,43
"2008-06-30",68,208,1,48
"2008-07-01",66,204,3,62
"2008-07-02",77,223,2,44
"2008-07-03",56,203,3,50
"2008-07-04",70,290,1,33
"2008-07-05",106,306,1,46
"2008-07-06",82,261,2,54
"2008-07-07",83,207,3,50
