"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2001-06-23",85,300,7,50
"2001-06-24",94,318,2,40
"2001-06-25",83,273,1,56
"2001-06-26",87,271,4,36
"2001-06-27",100,286,2,32
"2001-06-28",99,283,1,45
"2001-06-29",106,308,3,66
"2001-06-30",87,367,4,57
"2001-07-01",119,341,1,61
"2001-07-02",105,230,3,51
"2001-07-03",82,278,0,56
"2001-07-04",94,390,2,51
"2001-07-05",108,311,2,69
"2001-07-06",83,270,1,44
"2001-07-07",81,324,1,51
"2001-07-08",99,341,3,34
"2001-07-09",85,266,4,47
"2001-07-10",105,267,6,58
"2001-07-11",103,248,1,62
"2001-07-12",90,266,0,48
"2001-07-13",83,294,4,58
"2001-07-14",113,333,1,71
"2001-07-15",108,358,1,58
"2001-07-16",121,295,1,48
"2001-07-17",100,243,5,59
"2001-07-18",84,267,2,54
"2001-07-19",108,271,5,50
"2001-07-20",81,291,1,54
"2001-07-21",101,380,2,56
"2001-07-22",92,331,2,49
"2001-07-23",107,258,8,61
"2001-07-24",97,287,4,39
"2001-07-25",83,247,3,38
"2001-07-26",93,254,0,54
"2001-07-27",93,263,4,51
"2001-07-28",115,345,3,64
"2001-07-29",93,366,5,59
"2001-07-30",96,234,1,58
"2001-07-31",97,264,2,45
"2001-08-01",102,258,0,55
"2001-08-02",99,259,3,66
"2001-08-03",96,250,0,61
"2001-08-04",91,389,5,62
"2001-08-05",109,366,1,63
"2001-08-06",98,270,1,63
"2001-08-07",93,288,1,54
"2001-08-08",102,287,2,47
"2001-08-09",91,260,1,42
"2001-08-10",102,256,1,49
"2001-08-11",110,330,1,68
"2001-08-12",92,347,3,50
"2001-08-13",88,234,0,59
"2001-08-14",110,243,1,54
"2001-08-15",102,258,1,48
"2001-08-16",79,233,3,64
"2001-08-17",106,227,1,38
"2001-08-18",95,261,6,51
"2001-08-19",94,264,4,48
"2001-08-20",100,264,1,57
"2001-08-21",77,214,0,44
"2001-08-22",116,240,4,54
"2001-08-23",101,239,1,46
"2001-08-24",94,261,0,69
"2001-08-25",104,285,2,76
"2001-08-26",94,319,2,51
"2001-08-27",92,285,4,62
"2001-08-28",110,236,1,52
"2001-08-29",106,270,3,49
"2001-08-30",90,247,2,43
"2001-08-31",78,228,3,59
"2001-09-01",83,295,5,66
"2001-09-02",96,300,0,47
"2001-09-03",100,315,1,57
"2001-09-04",94,237,0,63
"2001-09-05",90,211,2,48
"2001-09-06",99,242,2,56
"2001-09-07",114,290,4,59
"2001-09-08",114,368,5,74
"2001-09-09",102,279,2,48
"2001-09-10",75,226,5,73
"2001-09-11",145,306,3,54
"2001-09-12",108,248,1,57
"2001-09-13",84,234,0,49
"2001-09-14",99,253,6,54
"2001-09-15",100,306,2,81
"2001-09-16",94,306,2,71
"2001-09-17",91,237,1,59
"2001-09-18",98,256,3,47
"2001-09-19",86,215,0,45
"2001-09-20",98,247,1,42
"2001-09-21",91,284,1,64
"2001-09-22",84,307,1,66
"2001-09-23",81,264,4,65
