"","Date","001","002","003","004","005","006","007","008","009","010","011","012","014","015","016","017","018","019","020","022","024","025","031","021"
"48",2001-02-17,22,70,54,60,48,48,52,68,50,49,66,58,58,38,40,28,56,46,28,38,35,66,0,0
"49",2001-02-18,23,69,45,41,54,51,60,64,52,51,61,51,48,44,55,30,59,53,21,37,43,68,0,0
"50",2001-02-19,38,69,72,54,42,58,58,83,53,48,130,56,51,55,31,36,28,64,25,34,53,73,0,0
"51",2001-02-20,31,99,66,75,58,60,68,85,51,55,73,53,68,50,37,37,50,56,32,40,42,71,0,0
"52",2001-02-21,45,95,65,46,47,76,64,66,54,52,77,49,61,56,43,34,51,67,22,37,42,74,0,0
"53",2001-02-22,38,87,59,56,26,59,78,75,47,42,66,39,57,70,36,31,62,42,30,34,36,56,0,0
"54",2001-02-23,40,88,57,52,60,40,64,79,72,53,74,61,45,49,51,41,47,65,24,34,36,69,0,0
"55",2001-02-24,41,102,60,64,57,55,62,79,68,45,63,53,64,57,43,35,57,55,38,24,43,72,0,0
"56",2001-02-25,24,104,71,41,45,46,69,77,66,54,76,69,39,44,54,36,46,44,16,39,42,60,0,0
"57",2001-02-26,38,89,67,56,50,51,45,99,70,58,70,58,57,66,26,41,63,52,24,25,36,63,0,0
"58",2001-02-27,34,101,58,63,59,73,72,66,49,62,68,60,46,53,53,39,54,57,32,35,42,71,0,0
"59",2001-02-28,38,94,59,56,56,86,78,82,49,38,88,61,55,62,36,35,43,57,30,35,30,58,0,0
"60",2001-03-01,57,112,81,82,70,91,100,102,82,64,70,79,75,72,45,66,69,82,26,48,28,92,0,0
"61",2001-03-02,44,112,73,72,46,81,74,95,89,55,66,86,68,62,42,25,52,78,27,35,43,72,0,0
"62",2001-03-03,37,111,68,73,56,50,65,89,61,51,66,61,52,53,45,48,70,64,36,41,39,87,0,0
"63",2001-03-04,27,93,61,74,40,65,74,49,61,51,73,55,64,57,47,32,51,47,22,25,27,67,0,0
"64",2001-03-05,48,104,51,52,47,55,56,80,54,44,110,62,51,41,54,39,45,64,32,35,41,67,0,0
"65",2001-03-06,47,83,59,54,47,66,65,92,75,58,63,57,62,58,42,37,60,60,31,33,40,59,0,0
"66",2001-03-07,65,110,82,60,39,54,70,79,67,44,79,72,62,51,49,48,63,75,31,39,42,88,0,0
"67",2001-03-08,56,104,65,83,49,61,63,84,63,62,71,84,55,59,42,47,63,69,23,33,45,75,0,0
"68",2001-03-09,46,107,62,80,90,56,70,79,61,59,80,76,60,63,44,38,67,75,33,40,49,86,0,0
"69",2001-03-10,43,88,69,77,52,66,87,75,62,45,85,67,61,43,53,24,73,61,19,23,37,57,0,0
"70",2001-03-11,28,93,67,69,43,65,65,74,58,42,69,36,62,51,49,22,52,42,24,31,40,62,0,0
"71",2001-03-12,39,100,68,75,42,63,73,92,57,52,60,82,61,55,42,36,57,46,21,40,40,63,0,0
"72",2001-03-13,31,100,56,51,55,63,93,81,67,42,74,75,64,49,42,39,61,56,34,41,43,74,0,0
"73",2001-03-14,52,105,75,59,52,87,81,84,69,36,79,57,65,41,35,29,68,62,26,38,46,71,0,0
"74",2001-03-15,56,104,57,76,49,73,69,93,54,47,63,64,41,47,43,38,58,53,28,35,44,66,0,0
"75",2001-03-16,49,94,60,63,53,68,76,92,52,52,65,71,44,55,35,32,65,55,26,30,48,71,0,0
"76",2001-03-17,36,79,47,57,39,62,52,79,49,49,51,53,53,39,37,25,71,54,22,39,38,57,0,0
"77",2001-03-18,32,76,61,59,46,55,67,78,56,54,57,59,63,44,36,43,75,54,37,38,40,61,0,0
"78",2001-03-19,50,106,55,61,43,87,69,102,63,53,73,76,44,52,43,37,50,82,36,32,40,91,0,0
"79",2001-03-20,36,101,76,82,52,87,67,94,64,46,92,69,98,60,41,52,53,59,29,45,36,94,0,0
"80",2001-03-21,50,114,75,85,87,65,74,76,58,54,61,70,55,55,39,43,66,50,36,41,45,74,0,0
"81",2001-03-22,51,96,74,57,80,76,70,85,58,38,87,83,60,82,37,43,49,64,32,32,45,75,0,0
"82",2001-03-23,41,109,66,88,68,72,78,104,64,54,78,81,67,78,40,51,76,58,27,44,45,92,0,0
"83",2001-03-24,35,96,67,59,44,58,52,91,62,59,112,70,59,68,34,41,68,67,41,38,34,83,0,0
"84",2001-03-25,26,87,49,45,42,33,69,91,51,51,71,53,56,63,31,34,44,41,29,21,39,76,0,0
"85",2001-03-26,37,106,52,67,49,62,63,92,60,44,79,63,53,53,37,39,39,46,28,32,45,70,0,0
"86",2001-03-27,56,108,72,74,57,90,70,97,78,57,78,57,72,63,36,35,68,56,18,44,53,70,0,0
"87",2001-03-28,34,109,64,82,52,73,86,98,68,44,83,67,58,67,35,34,63,51,29,26,37,61,0,0
"88",2001-03-29,50,103,60,63,59,79,66,86,62,54,76,64,52,66,56,34,58,59,35,46,42,67,0,0
